appendix,decision,page,stt,medicine_name,active_ingredient,dosage_form,packaging,standard,shelf_life_months,registration_number,previous_registration_number,renewal_count
Phụ lục I,Cấp giấy đăng ký lưu hành,3,1,Saxapi 5,Saxagliptin (dưới dạng saxagliptin hydrochloride dihydrate) 5mg,Viên nén bao phim,36 tháng,TCCS,"Hộp 3 vỉ, 10 vỉ x 10 viên; Hộp 1 chai 100 viên, 200 viên",VD-35773-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,3,2,Natusmine,Dimenhydrinat 50mg,Viên nén,36 tháng,TCCS,"Hộp 1 vỉ, 3 vỉ, 10 vỉ (Al-PVC) x 10 viên; Hộp 1 vỉ, 3 vỉ, 10 vỉ (Al-Al) x 10 viên; Hộp 10 vỉ (PET-LLDPE) x 10 viên",VD-35774-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,3,Relatab TT,Methocarbamol 400mg; Paracetamol 325mg,Viên nén bao phim,36 tháng,TCCS,Hộp 10 vỉ x 10 viên; Hộp 20 vỉ x 10 viên,VD-35775-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,4,Rupafast Sirup,Mỗi 100ml chứa Rupatadin (dưới dạng Rupatadin fumarat) 100mg,Siro thuốc,36 tháng,TCCS,"Hộp 10 ống, 20 ống, 30 ống, x 5ml; Hộp 10 gói, 12 gói, 20 gói x 2,5ml; Hộp 1 lọ 60ml, 100ml",VD-35776-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,5,Solu Kids,Prednisolon 20mg,Viên nén phân tán,36 tháng,TCCS,"Hộp 2 vỉ, 3 vỉ, 5 vỉ, 10 vỉ x 10 viên; Hộp 2 vỉ, 3 vỉ, 5 vỉ, 10 vỉ, 20 vỉ x 4 viên; Hộp 1 lọ 20 viên, 50 viên, 100 viên",VD-35777-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,6,Xabantk 10 mg,Rivaroxaban 10mg,Viên nén bao phim,36 tháng,TCCS,Hộp 2 vỉ x 7 viên; Hộp 2 vỉ x 10 viên,VD-35778-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,7,Xabantk 20 mg,Rivaroxaban 20mg,Viên nén bao phim,36 tháng,TCCS,Hộp 2 vỉ x 7 viên; Hộp 2 vỉ x 10 viên,VD-35779-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,8,Biginol 5,Bisoprolol fumarate 5mg,Viên nén bao phim,24 tháng,TCCS,Hộp 3 vỉ x 10 viên,VD-35780-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,4,9,Rebamipid 100 mg,Rebamipid 100mg,Viên nén bao phim,24 tháng,TCCS,"Hộp 2 vỉ, 5 vỉ x 10 viên",VD-35781-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,5,10,"SeaZopi 3,75mg","Zopiclon 3,75mg",Viên nén bao phim,36 tháng,TCCS,"Hộp 01 vỉ, 03 vỉ x 10 viên",VD-35782-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,5,11,Glimepirid,Glimepirid 1mg,Viên nén,36 tháng,TCCS,Hộp 03 vỉ x 10 viên,VD-35783-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,5,12,Glimepirid,Glimepirid 4mg,Viên nén,36 tháng,TCCS,Hộp 03 vỉ x 10 viên,VD-35784-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,5,13,Zanbaz,Sitagliptin (dưới dạng Sitagliptin phosphate monohydrate) 50mg,Viên nén bao phim,36 tháng,TCCS,Hộp 02 vỉ x 14 viên; Hộp 03 vỉ x 10 viên,VD-35785-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,6,14,Anbaescin,Escin 50mg,Viên nén,36 tháng,TCCS,"Hộp 03 vỉ, 10 vỉ x 10 viên",VD-35786-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,6,15,Neuvitaba,Benfotiamine 150mg,Viên nén bao phim,36 tháng,TCCS,Hộp 3 vỉ x 10 viên,VD-35787-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,6,16,"Agicardi 2,5","Bisoprolol fumarat 2,5mg",Viên nén bao phim,36 tháng,USP 41,Hộp 3 vỉ x 10 viên,VD-35788-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,6,17,"Agichymo 8,4","Chymotrypsin (tương đương Chymotrypsin USP 8,4mg) 8.400 đơn vị",Viên nén,24 tháng,TCCS,Hộp 02 vỉ x 10 viên,VD-35789-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,6,18,Zokicetam 250,Levetiracetam 250mg,Viên nén bao phim,36 tháng,TCCS,"Hộp 3 vỉ, 10 vỉ x 10 viên",VD-35790-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,6,19,MucousAPC syrup,Carbocistein 125mg/5ml,Siro,24 tháng,TCCS,Hộp 20 ống x 5ml; Hộp 100 ống x 5ml; Hộp x 1 chai 120ml,VD-35791-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,20,A.T Eperison 50,Eperisone hydrochloride 50mg,Viên nén bao phim,36 tháng,TCCS,"Hộp 2 vỉ, 3 vỉ, 5 vỉ, 10 vỉ x 10 viên; Hộp 1 chai 30 viên, 60 viên, 100 viên",VD-35792-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,21,Hyuga 300 mg,Clindamycin (dưới dạng Clindamycin HCl) 300mg,Viên nang cứng,36 tháng,TCCS,"Hộp 2 vỉ, 3 vỉ, 5 vỉ, 10 vỉ x 10 viên; Hộp 1 chai 30 viên, 60 viên, 100 viên",VD-35793-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,22,Tigemy 50,Tigecyclin 50mg,Thuốc tiêm đông khô,24 tháng,TCCS,"Hộp 1 lọ, 3 lọ, 5 lọ",VD-35794-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,23,Bosfradin 250,Cefradin 250mg,Viên nang cứng,36 tháng,TCCS,"Hộp 1 vỉ, 2 vỉ, 3 vỉ, 5 vỉ, 10 vỉ x 10 viên (vỉ Al-Al; Al-PVDC)",VD-35795-22,,
